Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Jr Data Analyst,"$66,331 /yr (est.)","Job Description :
The Jr. Data Analyst will be engaged in coordinating and delivering the following services:
Create and maintain metrics and reports to monitor the business and provide insight, Identify and drive opportunities to continuously improve within all applications.
Remedy system issues and prioritise system enhancements and detect fixes.
Experience : 1 – 2 Years
Mandatory Skills And Qualifications :",3.9,Veracity Software,"Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst (BV552501),"$73,000 /yr (est.)","NOTE: All applicants must comply with ICL/NYC’s vaccination policy. Individuals selected for employment cannot begin working until they provide verification that they are fully vaccinated against COVID-19 (with an FDA-authorized vaccine) or submit and gain approval for a Medical or Religious Exemption. Individuals approved for exemption must submit weekly PCR test results.
Institute for Community Living (ICL) is actively seeking a Data Analyst who will design and implement data collection strategies for the HUB, including working with partners to establish data sharing and compartmentalization protocols that comply with all relevant human subject legal protections and ethical standards. The Data Analyst will work closely with the external evaluation team to provide all relevant quantitative and qualitative information in pursuit of demonstrating the HUB’s efficacy. The Data Analyst will report to the HUB Director.",3.1,ICL Inc,"Brooklyn, NY",Unknown,1986,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst,$37.00 /hr (est.),"Description of Roles and Responsibilities:
· Responsible for analyzing data requirements and developing data models for an ERP system
· Ensures that the system can effectively manage and analyze institutional data
· Create reports for internal teams and/or external clients
· Collaborate with team members to collect and analyze data
· Use graphs, infographics and other methods to visualize data",4.0,DONIA LLC,"New York, NY",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
data analyst,"$79,286 /yr (est.)","responsibilities:
Perform data modeling, data analysis, and development of key performance indicators
Create, maintain, define reporting processes for overall revenue vertical
Work with end users of information to research reported data anomalies, identify root causes, and determine remediation steps
Must see the story behind the numbers in order to turn numbers into ACTION
Proactively communicate and collaborate with business units, technology teams and support teams
qualifications and experience:",4.0,Lead5 Media,"Newark, CA",1 to 50 Employees,2009,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD)
Telecaller & Data Analyst,"$10,000 /mo (est.)","Telecalling,Data Updation
Good communication Skills
Job Type: Full-time
Pay: $10,000.00 per month
Experience level:
No experience needed
Schedule:
8 hour shift",-1,Shubh Labh Vivah Sanstha,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,"$77,946 /yr (est.)","We’re on a mission to make behavioral health more available and accessible. We're backed by a16Z, YCombinator, Craft, and many others to make this dream a reality.

-

Building an inclusive culture is one of our core tenets as a company. We’re very aware of the structural inequalities that exist, and recognize that underrepresented minorities are less likely to apply for a role if they don’t think they meet all of the requirements. If that’s you and you’re reading this, we’d like to encourage you to apply regardless — we’d love to get to know you and see if there’s a place for you here!

-",1.0,"Juniper Solutions, Inc.","New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,"$70,000 /yr (est.)","The Data Analysts should have broad range expertise in business analysis and business requirements. The Analysts will be required to gather supporting information that defines the current data state of the National Institute on Aging (NIA) for both extramural and intramural research programs to include clinical research, grants, and business operations.
Experience should include skill in determining the business needs and data requirements of external and internal clients through interviews, consultations, document analysis, surveys, business process descriptions, and task and workflow analysis. Experience should include documenting detailed project plans, and requirements throughout a product’s life - cycle.",4.2,"Dfuse Technologies, Inc.",Remote,Unknown,-1,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$19.00 /hr (est.),"Title : Contract Coordinator / Data Auditor
Duration: 3+ months with possible of extension
Location: Arizona (Remote)
Pay Rate- $19/hr on W2
Job Description:
Essential Duties and Responsibilities:
Review and interpret vendor agreements, pricing documentation, incentive documentation, and/or contract documentation for relevant content and information. Use critical thinking and in-depth understanding of processes and best practices to make decisions and judgment calls on how to accurately load pricing based upon inputs or information provided by internal/ external stakeholders.",4.2,Intellipro Group,Remote,201 to 500 Employees,-1,Company - Private,-1,-1,$5 to $25 million (USD)
Data Analyst,"$85,000 /yr (est.)","Data Analyst
Job Role:
Working with cross-functionally with many different teams including Product, Marketing, Sales, Customer Success, and Strategy
Up level the organization's maturity around using data to inform strategic decisions
Work on optimizing our reporting and dashboards to meet business requirements and create opportunities for automation, improvements and scalability
Synthesize data into actionable insights to support decision-making at the strategic level across the organization",-1,Edrex,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,$33.99 /hr (est.),"Job Title: Data Analyst
Duration: Long Term Contract
Location: 100% Remote
Description:
Required Education Level: Bachelors
Required Degree: computer science, electronics engineering or other engineering or technical discipline is required.
Required Years Experience: 5 years",2.9,Ascent IT Solutions,Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,"$62,500 /yr (est.)","Job description
Orada Tech: IT Solutions is an IT Consulting Company, and is looking for motivated and professional technicians that are vaccinatedand willing to work in order to provide corporate-level IT tasks. Opportunities and other projects may be provided to you after said worker has proved themselves as professionally competent.
We are looking for someone who is interested in a long term role as this is a long term position. That being said there will be opportunities for benefits, retention pay, and pay raises upon a successful hire and merit.",-1,Orada Technology Solutions,"Chandler, AZ",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,$62.50 /hr (est.),"Job Title : Data/Business Analyst
Location : Charlotte, NC/ Jersey City, NJ
Duration : 12 months contract with possible extension
Description :
As a Data/Business Analyst, candidate will be expected to help the team craft data solutions to meet business and enterprise requirements using SQL and ETL Tools to enhance and support a Data Warehouse in a Capital Markets Domain.
The candidate may help manage progress based on consistent Software Development Lifecycle (SDLC) processes leveraging Agile and SAFE methodologies. They may also drive project risks and issues to resolution to minimize project impact while ensuring compliance to standards and providing end-to-end visibility into the health of the deliverables. This role will be required to work closely with the project developers and architects across multiple projects/work-streams at the same time.",-1,avansait,"Charlotte, NC",501 to 1000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst I,$26.63 /hr (est.),"Position Title: Data Analyst I
Department: Information Technology
Reports To: Director
POSITION SUMMARY
Under the general supervision of Evaluation and Data Supervisor, collects, evaluates, manages, and prepares data to support activities of agency. Prepares statistical and narrative reports, designs & conducts surveys, conducts focus groups, and completion of external surveys.",2.9,Tarzana Treatment Center,"Woodland Hills, CA",Unknown,1971,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst,"$87,792 /yr (est.)","Duration & Type: 12+ months Contract with a major utility industry client
Location: White Plains, New York
Responsibilities:
Collect and document detailed data requirements and the data flows
Identify relevant data attributes from internal data sources and document inputs, outputs and associated source-to-target data mapping
Document key processes and workflows around data acquisition, integration, cleansing and monitoring",4.5,InfoQuest Consulting Group Inc.,"White Plains, NY",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
Data Analyst,$30.00 /hr (est.),"The Medicine, Science, Technology, Engineering, and Mathematics Scholars Trained in Aging Research (MSTEM STAR) program seeks an experienced person for data collection, data analysis, and writing reports for the annual MSTEM STAR program evaluation.
Please be aware that funding for this position is awarded through a Grant/Contract over a specified period. Employment for this position beyond current Grant/Contract funding is contingent upon continued funding or new Grant/Contract.
Essential Duties
Coordinate data collection efforts with other members of the MSTEAM STAR assessment team and collect data from multiple sources.",3.5,CSU Fullerton Auxiliary Services,"Fullerton, CA",1001 to 5000 Employees,1959,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD)
Data Analyst,$55.00 /hr (est.),"Data Analyst/Modeler
Location – CO: BROOMFIELD - 1025 ELDORADO BLVD, INTERLOCKEN 4000
Description:
Develops data models to meet the needs of the organization's information systems.
Manages the flow of information between departments through the use of relational databases.
Maintains data integrity by working to eliminate redundancy.",4.3,CT Solutions,"Broomfield, CO",51 to 200 Employees,-1,Company - Private,Beauty & Wellness,Personal Consumer Services,Less than $1 million (USD)
Data Analyst,$52.50 /hr (est.),"key skills:
5+ years of experience in data mapping techniques.
3+ years of strong experience Working with GCP, and its native cloud services will be an added advantage.
Working knowledge of Reporting technologies like Power BI, Watch, and Looker is an added advantage.
Cloud certifications (good to have)
Job Type: Contract
Salary: $50.00 - $55.00 per hour
Schedule:",4.7,Fuge Technologies Inc,Remote,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Data Analyst- CIN,"$67,182 /yr (est.)","Position Overview
The Business Analyst will be a member of the Stony Brook Medicine?s CIN Population Health IT Team. The candidate will work with end users to understand their clinical and business workflows, document use cases, functional requirements and develop data analytics that will be used to support the daily operations of our Clinically Integrated Network.
This candidate will work in a fast-paced environment as part of a multi-disciplinary project team responsible for ensuring the ongoing management and improvements on the Population Health platform required for tracking and reporting on the quality and performance measures programs.",4.0,"SB ADMINISTRATIVE SERVICES, LLC","Commack, NY",10000+ Employees,1957,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
PT Data Analyst,$50.00 /hr (est.),"This position will provide analytical support to the Chair, faculty, and staff of the MS Physician Assistant Pleasantville Program by collecting, analyzing and reporting data for assessment and accreditation.

Position Duties
Assisting with the extraction, compiling, and coding of data from survey results.
Reviewing data sets, identifying key data points, and compiling associated reports.
Completing data tables and other requests for information.",4.1,Pace University,"Pleasantville, NY",5001 to 10000 Employees,1948,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Data Analyst,"$95,000 /yr (est.)","We are looking for a master data analyst to help monitor our data and make better business decisions using information from our available data. Your task is to gather and prepare data from multiple sources, run statistical analyses, and communicate your findings in a clear and objective way.
You will be responsible for developing governance processes to ensure data integrity for all data sources that feed into the ERP system. Additionally, the successful candidate will partner with the IT team to build a custom solution that will be used across the enterprise.
Responsibilities",-1,Launching Point,Remote,1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst 2 - Remote,"$100,450 /yr (est.)","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start Caring. Connecting. Growing together.

The Data Analyst II within the Enterprise Reporting and Analysis team supports internal clients by maintaining, developing and optimizing data infrastructure, and produces reporting. You’ll be empowered to drive efficiencies supporting data migrations and new reporting functionality, while acting as a consultant business owner ensuring they get the most meaningful information out of their data.",-1,UnitedHealthcare,"Eden Prairie, MN",10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Analyst,"$70,000 /yr (est.)","Become a leader in one of the most sought-after industries in the country from your home!
ClaimReturn, industry leader in artificial intelligence-driven, cost-recovery healthcare, is hiring for an experienced data analyst within our rapidly growing virtual, phone-based revenue recovery operations.
The Data Analyst is responsible for interpreting data, analyzing results using statistical techniques and providing ongoing reports. This role identifies, analyzes, and interprets trends, patterns or outliers in complex data sets to ensure work is connected to business objectives, delivered on time, and focused on outcomes. Experience with statistics and statistical packages for analyzing datasets required. Adept at queries, reporting writing, and presenting findings essential.",3.3,ClaimReturn LLC,Remote,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Analyst,"$51,000 /yr (est.)","Job Title: Data Analyst
Reports to: Senior Director of Quality & Training
Position Classification: Exempt
Wage: $47,000 to $55,000 a year
EXPERIENCE EXTREME CUSTOMER SERVICE
About the Company
Dynamic Workforce Solutions (DWFS) contracts with state and local entities to provide services that offer the communities we serve reliable workforce development and training solutions that result in talented, well-trained people positioned for tomorrow's jobs. Our innovative approach to delivering services, passion for the work we do and commitment to ongoing quality have defined over three decades of exceptional results.",2.3,Dynamic Workforce Solutions,Remote,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Analyst,"$67,863 /yr (est.)","Data Analyst

We are leaders in Finance as a Service (FaaS) industry. Through our Easby platform we bring the People, Process, and Technology together into a Finance, Accounting and Tax solution for small to mid-sized businesses. Our clients come from variety of industries including government contracting, not-for-profit, and commercial clients including professional services, healthcare, technology, and international firms.

ROSE adds value to its clients by utilizing a unique combination of Best People, Best Practices, and Best Systems. Our mission is to help our clients succeed by ensuring that they have a solid financial infrastructure and providing them with timely, accurate, and meaningful financial information to guide them towards achieving their goals. What ROSE is looking for: A proactive, disciplined and aspiring leader with strong leadership, communication, management, and technical competencies. Candidates also thrive while meeting challenging deadlines, enjoy problem solving, and aspire to continually grow within the company. The ideal candidate is looking to transition into a great firm that offers a long-term career opportunity.",4.6,Rose Financial Solutions LLC,"North Bethesda, MD",51 to 200 Employees,1994,Private Practice / Firm,Accounting & Tax,Financial Services,$5 to $25 million (USD)
Data Analyst,"$90,000 /yr (est.)","Data Analyst

Supports the development process for creating new data feeds and modifying existing data feeds.
Analyzes existing data dictionaries at CDC and data harmonization needs using statistical techniques to identify patterns and relationships utilizing tools such as Excel, R, and Tableau and makes recommendations.
Visualizes data insights using charts, graphs, and dashboards to communicate findings to stakeholders.",4.0,"Global Enterprise Services, LLC","Atlanta, GA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,"$84,240 /yr (est.)","TriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retirement plans and workers’ compensation insurance.

TriNet has a nationwide presence and an experienced executive team. Our stock is publicly traded on the NYSE under the ticker symbol TNET. If you’re passionate about innovation and making an impact on the large SMB market, come join us as we power our clients’ business success with extraordinary HR.",3.7,TriNet,Remote,1001 to 5000 Employees,1988,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
Lead Data Analyst,$62.50 /hr (est.),"Role: Lead I - Data Analysis
Location: Remote
_Must Have SKILLS: Agile Methodology,Sql Database,Data Analysis
_
RESPONSIBILITIES/TASKS:
Works through various project phases from ideation to defining scope & planning. • Collaborates with market-facing stakeholders and internal system users to understand and document software product user needs including “as is” and “to be” states. • Authors user stories with process flows, mockups, and acceptance criteria in requirements tracking system. • Translates complex requirements from user needs to the development team in an Agile Scrum environment. • Provides IT application support, research of software defects, trouble-shooting, and defining solutions for defects. • Performs verification and UAT testing, including creation of test plans, test scripts and coordination of UAT testing with business users. • Utilizes presentation and interpersonal skills to train end users and communicate program progress cross-functionally and to leadership teams. • Performs Release validation. This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.",4.0,ERPMark Inc,Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD)
Data Analyst,$37.00 /hr (est.),"Description of Roles and Responsibilities:
· Responsible for analyzing data requirements and developing data models for an ERP system
· Ensures that the system can effectively manage and analyze institutional data
· Create reports for internal teams and/or external clients
· Collaborate with team members to collect and analyze data
· Use graphs, infographics and other methods to visualize data",4.0,DONIA LLC,"New York, NY",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
data analyst,"$79,286 /yr (est.)","responsibilities:
Perform data modeling, data analysis, and development of key performance indicators
Create, maintain, define reporting processes for overall revenue vertical
Work with end users of information to research reported data anomalies, identify root causes, and determine remediation steps
Must see the story behind the numbers in order to turn numbers into ACTION
Proactively communicate and collaborate with business units, technology teams and support teams
qualifications and experience:",4.0,Lead5 Media,"Newark, CA",1 to 50 Employees,2009,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD)
Telecaller & Data Analyst,"$10,000 /mo (est.)","Telecalling,Data Updation
Good communication Skills
Job Type: Full-time
Pay: $10,000.00 per month
Experience level:
No experience needed
Schedule:
8 hour shift",-1,Shubh Labh Vivah Sanstha,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,"$77,946 /yr (est.)","We’re on a mission to make behavioral health more available and accessible. We're backed by a16Z, YCombinator, Craft, and many others to make this dream a reality.

-

Building an inclusive culture is one of our core tenets as a company. We’re very aware of the structural inequalities that exist, and recognize that underrepresented minorities are less likely to apply for a role if they don’t think they meet all of the requirements. If that’s you and you’re reading this, we’d like to encourage you to apply regardless — we’d love to get to know you and see if there’s a place for you here!

-",1.0,"Juniper Solutions, Inc.","New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,"$70,000 /yr (est.)","The Data Analysts should have broad range expertise in business analysis and business requirements. The Analysts will be required to gather supporting information that defines the current data state of the National Institute on Aging (NIA) for both extramural and intramural research programs to include clinical research, grants, and business operations.
Experience should include skill in determining the business needs and data requirements of external and internal clients through interviews, consultations, document analysis, surveys, business process descriptions, and task and workflow analysis. Experience should include documenting detailed project plans, and requirements throughout a product’s life - cycle.",4.2,"Dfuse Technologies, Inc.",Remote,Unknown,-1,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$19.00 /hr (est.),"Title : Contract Coordinator / Data Auditor
Duration: 3+ months with possible of extension
Location: Arizona (Remote)
Pay Rate- $19/hr on W2
Job Description:
Essential Duties and Responsibilities:
Review and interpret vendor agreements, pricing documentation, incentive documentation, and/or contract documentation for relevant content and information. Use critical thinking and in-depth understanding of processes and best practices to make decisions and judgment calls on how to accurately load pricing based upon inputs or information provided by internal/ external stakeholders.",4.2,Intellipro Group,Remote,201 to 500 Employees,-1,Company - Private,-1,-1,$5 to $25 million (USD)
Data Analyst,"$85,000 /yr (est.)","Data Analyst
Job Role:
Working with cross-functionally with many different teams including Product, Marketing, Sales, Customer Success, and Strategy
Up level the organization's maturity around using data to inform strategic decisions
Work on optimizing our reporting and dashboards to meet business requirements and create opportunities for automation, improvements and scalability
Synthesize data into actionable insights to support decision-making at the strategic level across the organization",-1,Edrex,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,$30.00 /hr (est.),"The Medicine, Science, Technology, Engineering, and Mathematics Scholars Trained in Aging Research (MSTEM STAR) program seeks an experienced person for data collection, data analysis, and writing reports for the annual MSTEM STAR program evaluation.
Please be aware that funding for this position is awarded through a Grant/Contract over a specified period. Employment for this position beyond current Grant/Contract funding is contingent upon continued funding or new Grant/Contract.
Essential Duties
Coordinate data collection efforts with other members of the MSTEAM STAR assessment team and collect data from multiple sources.",3.5,CSU Fullerton Auxiliary Services,"Fullerton, CA",1001 to 5000 Employees,1959,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD)
Data Analyst,$33.99 /hr (est.),"Job Title: Data Analyst
Duration: Long Term Contract
Location: 100% Remote
Description:
Required Education Level: Bachelors
Required Degree: computer science, electronics engineering or other engineering or technical discipline is required.
Required Years Experience: 5 years",2.9,Ascent IT Solutions,Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,"$87,792 /yr (est.)","Duration & Type: 12+ months Contract with a major utility industry client
Location: White Plains, New York
Responsibilities:
Collect and document detailed data requirements and the data flows
Identify relevant data attributes from internal data sources and document inputs, outputs and associated source-to-target data mapping
Document key processes and workflows around data acquisition, integration, cleansing and monitoring",4.5,InfoQuest Consulting Group Inc.,"White Plains, NY",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
Data Analyst,"$62,500 /yr (est.)","Job description
Orada Tech: IT Solutions is an IT Consulting Company, and is looking for motivated and professional technicians that are vaccinatedand willing to work in order to provide corporate-level IT tasks. Opportunities and other projects may be provided to you after said worker has proved themselves as professionally competent.
We are looking for someone who is interested in a long term role as this is a long term position. That being said there will be opportunities for benefits, retention pay, and pay raises upon a successful hire and merit.",-1,Orada Technology Solutions,"Chandler, AZ",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst I,$26.63 /hr (est.),"Position Title: Data Analyst I
Department: Information Technology
Reports To: Director
POSITION SUMMARY
Under the general supervision of Evaluation and Data Supervisor, collects, evaluates, manages, and prepares data to support activities of agency. Prepares statistical and narrative reports, designs & conducts surveys, conducts focus groups, and completion of external surveys.",2.9,Tarzana Treatment Center,"Woodland Hills, CA",Unknown,1971,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst,$62.50 /hr (est.),"Job Title : Data/Business Analyst
Location : Charlotte, NC/ Jersey City, NJ
Duration : 12 months contract with possible extension
Description :
As a Data/Business Analyst, candidate will be expected to help the team craft data solutions to meet business and enterprise requirements using SQL and ETL Tools to enhance and support a Data Warehouse in a Capital Markets Domain.
The candidate may help manage progress based on consistent Software Development Lifecycle (SDLC) processes leveraging Agile and SAFE methodologies. They may also drive project risks and issues to resolution to minimize project impact while ensuring compliance to standards and providing end-to-end visibility into the health of the deliverables. This role will be required to work closely with the project developers and architects across multiple projects/work-streams at the same time.",-1,avansait,"Charlotte, NC",501 to 1000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,$55.00 /hr (est.),"Data Analyst/Modeler
Location – CO: BROOMFIELD - 1025 ELDORADO BLVD, INTERLOCKEN 4000
Description:
Develops data models to meet the needs of the organization's information systems.
Manages the flow of information between departments through the use of relational databases.
Maintains data integrity by working to eliminate redundancy.",4.3,CT Solutions,"Broomfield, CO",51 to 200 Employees,-1,Company - Private,Beauty & Wellness,Personal Consumer Services,Less than $1 million (USD)
PT Data Analyst,$50.00 /hr (est.),"This position will provide analytical support to the Chair, faculty, and staff of the MS Physician Assistant Pleasantville Program by collecting, analyzing and reporting data for assessment and accreditation.

Position Duties
Assisting with the extraction, compiling, and coding of data from survey results.
Reviewing data sets, identifying key data points, and compiling associated reports.
Completing data tables and other requests for information.",4.1,Pace University,"Pleasantville, NY",5001 to 10000 Employees,1948,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Data Analyst- CIN,"$67,182 /yr (est.)","Position Overview
The Business Analyst will be a member of the Stony Brook Medicine?s CIN Population Health IT Team. The candidate will work with end users to understand their clinical and business workflows, document use cases, functional requirements and develop data analytics that will be used to support the daily operations of our Clinically Integrated Network.
This candidate will work in a fast-paced environment as part of a multi-disciplinary project team responsible for ensuring the ongoing management and improvements on the Population Health platform required for tracking and reporting on the quality and performance measures programs.",4.0,"SB ADMINISTRATIVE SERVICES, LLC","Commack, NY",10000+ Employees,1957,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Data Analyst,$52.50 /hr (est.),"key skills:
5+ years of experience in data mapping techniques.
3+ years of strong experience Working with GCP, and its native cloud services will be an added advantage.
Working knowledge of Reporting technologies like Power BI, Watch, and Looker is an added advantage.
Cloud certifications (good to have)
Job Type: Contract
Salary: $50.00 - $55.00 per hour
Schedule:",4.7,Fuge Technologies Inc,Remote,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Data Analyst 2 - Remote,"$100,450 /yr (est.)","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start Caring. Connecting. Growing together.

The Data Analyst II within the Enterprise Reporting and Analysis team supports internal clients by maintaining, developing and optimizing data infrastructure, and produces reporting. You’ll be empowered to drive efficiencies supporting data migrations and new reporting functionality, while acting as a consultant business owner ensuring they get the most meaningful information out of their data.",-1,UnitedHealthcare,"Eden Prairie, MN",10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Analyst,"$95,000 /yr (est.)","We are looking for a master data analyst to help monitor our data and make better business decisions using information from our available data. Your task is to gather and prepare data from multiple sources, run statistical analyses, and communicate your findings in a clear and objective way.
You will be responsible for developing governance processes to ensure data integrity for all data sources that feed into the ERP system. Additionally, the successful candidate will partner with the IT team to build a custom solution that will be used across the enterprise.
Responsibilities",-1,Launching Point,Remote,1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst,"$74,248 /yr (est.)","At AES, we raise the quality of life around the world by changing the way energy works. Everyone makes an impact every day in our small, global teams. Apply here to start an extraordinary career today.
Job Family and Group: Customer Service
Reports to: Customer Analytics Team Leader
Location: Indianapolis, IN OR Dayton, OH
The Customer Analytics Advisor is a new position within Customer Care to enhance our ability to deliver customer centered decision making. This position will deliver advanced data analytics to inform decision making and create visibility to customer needs. This position will support both current efforts and future efforts in the evaluation of programs, customer support, opportunities and advancements in our customer experience. Customers are the future of energy, this position is pivotal in advancing our ability to ensure forward making progress in becoming an exceptional utility.
AES is an Equal Opportunity Employer who is committed to building strength and delivering long-term sustainability through diversity and inclusion. Respecting all backgrounds, differences and perspectives enables us to improve the lives of our people, customers, suppliers, contractors, and the communities in which we live and work. All qualified applicants will receive consideration for employment without regard to sex, sexual orientation, gender, gender identity and/or expression, race, national origin, ethnicity, age, religion, marital status, physical or mental disability, pregnancy, childbirth, or related medical condition, military or veteran status, or any other characteristic protected under applicable law. E-Verify Notice: AES will provide the Social Security Administration (SSA) and if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.",4.2,The AES Corporation,"Dayton, OH",5001 to 10000 Employees,1981,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Data Analyst,"$70,000 /yr (est.)","Become a leader in one of the most sought-after industries in the country from your home!
ClaimReturn, industry leader in artificial intelligence-driven, cost-recovery healthcare, is hiring for an experienced data analyst within our rapidly growing virtual, phone-based revenue recovery operations.
The Data Analyst is responsible for interpreting data, analyzing results using statistical techniques and providing ongoing reports. This role identifies, analyzes, and interprets trends, patterns or outliers in complex data sets to ensure work is connected to business objectives, delivered on time, and focused on outcomes. Experience with statistics and statistical packages for analyzing datasets required. Adept at queries, reporting writing, and presenting findings essential.",3.3,ClaimReturn LLC,Remote,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Analyst,$56.00 /hr (est.),"ETL Data Analyst/Quality Analyst (with Informatica/Teradata MDM Exp)
Location : Springfield, ILContract (Hybrid Role)
Duration : Long Term
Candidate must ready to relocate to client location
Required Qualifications:
Demonstrable experience on a number of data related projects. This needs to include significant experience on Master Data Management, data architecture design, data mapping, data quality assessment and information governance",-1,"DATAMAXIS, Inc","Springfield, IL",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Sr. Data Analyst,"$78,339 /yr (est.)","Join a team of the top 1%.

We believe in attracting and retaining the brightest technical minds from diverse backgrounds and nationalities to come together and create an enriched pool of global talent. Recognized as one of North America's fastest-growing companies, we aim to attract people who are passionate about technology and creating a real impact while working in collaborative environment with the latest technologies.

Our mission is to solve our client's most complex digital challenges by engaging the brightest of technical minds. We are looking for candidates who thrive in an innovative and collaborative environment who love solving problems and having fun while doing it.",3.9,Accolite Digital,"Newark, DE",1001 to 5000 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
